iter	RMSE
434	633048.4942
435	632850.5639
436	631648.6365
437	630523.1563
438	629693.5058
439	629673.2061
440	629298.8799
441	629281.7713
442	628997.1286
443	628979.1951
444	628787.2806
445	627885.6129
446	626963.3787
447	626069.931
448	625731.4909
449	624732.7398
450	624557.2826
451	623904.4516
452	623721.8629
453	623285.2145
454	622642.7076
455	622048.022
456	621221.622
457	621035.0617
458	620113.1943
459	619840.0401
460	619185.8664
461	618481.0911
462	617923.348
463	617751.6632
464	617692.21
465	617468.4878
466	616404.431
467	615985.027
468	615675.19
469	615474.9899
470	615127.0281
471	614958.1241
472	614634.6164
473	614614.6631
474	614597.0141
475	614385.6354
476	614229.4587
477	614047.1463
478	614035.4591
479	613858.9496
480	613453.8813
481	612478.4242
482	611866.0986
483	611499.8474
484	611486.6547
485	611470.4158
486	610764.0477
487	610598.2426
488	610010.2272
489	609571.4814
490	609057.7117
491	608635.3754
492	608302.2817
493	607488.9018
494	606675.3139
495	606044.3862
496	605856.4806
497	605221.5766
498	604967.9992
499	604456.5655
500	604202.0823
501	603701.4444
502	603551.774
503	602705.6002
504	601984.0913
505	601498.0886
506	601009.999
507	600849.95
508	600462.0774
509	600108.7051
510	600092.1978
511	599619.9968
512	599508.8486
513	599362.2944
514	598367.5777
515	598352.0211
516	598334.8261
517	597286.5791
518	597269.7686
519	596738.8317
520	596726.6008
521	596315.929
522	596302.9399
523	596122.1049
524	595481.3697
525	595306.0951
526	594926.195
527	594205.0214
528	594078.6105
529	594064.1497
530	593920.7206
531	593780.1226
532	593649.0094
533	593343.6232
534	593045.7058
535	592367.8105
536	591171.6882
537	590160.5081
538	589381.5567
539	588657.7913
540	588522.2723
541	588074.6468
542	588060.5121
543	588050.4266
544	587128.9878
545	586100.679
546	585338.8758
547	584791.2698
548	584651.2498
549	584607.263
550	583686.6096
551	582641.061
552	582513.5942
553	582201.2914
554	582104.2934
555	581942.508
556	581006.8276
557	580877.3122
558	580437.2168
559	580044.2653
560	579639.8916
561	579597.7882
562	578925.0218
563	578758.6712
564	577961.8997
565	577020.3307
566	576714.7437
567	576368.0847
568	576096.2273
569	575901.2063
570	574675.7525
571	574010.5808
572	573997.0116
573	573671.1259
574	573129.5956
575	572917.6972
576	572068.9383
577	571910.2912
578	571077.759
579	570225.3023
580	570110.3672
581	569999.933
582	569269.1333
