iter	Passed	Remaining
939	2303	147
940	2305	144
941	2306	142
942	2340	141
943	2347	139
944	2354	137
945	2357	134
946	2363	132
947	2366	129
948	2369	127
949	2371	124
950	2375	122
951	2380	120
952	2382	117
953	2384	114
954	2385	112
955	2387	109
956	2389	107
957	2391	104
958	2393	102
959	2395	99
960	2396	97
961	2398	94
962	2400	92
963	2401	89
964	2403	87
965	2404	84
966	2406	82
967	2407	79
968	2410	77
969	2411	74
970	2413	72
971	2414	69
972	2415	67
973	2417	64
974	2419	62
975	2420	59
976	2422	57
977	2424	54
978	2425	52
979	2426	49
980	2428	47
981	2431	44
982	2432	42
983	2434	39
984	2435	37
985	2438	34
986	2453	32
987	2455	29
988	2456	27
989	2468	24
990	2470	22
991	2472	19
992	2473	17
993	2474	14
994	2483	12
995	2484	9
996	2485	7
997	2487	4
998	2489	2
999	2490	0
